Date,Hours,NO
14/01/18,18-19,20247
14/01/18,19-20,20024
14/01/18,20-21,19904
14/01/18,21-22,19544
14/01/18,22-23,19057
14/01/18,23-00,18518
15/01/18,00-01,18147
15/01/18,01-02,17794
15/01/18,02-03,17850
15/01/18,03-04,17848
15/01/18,04-05,18087
15/01/18,05-06,18629
15/01/18,06-07,19987
15/01/18,07-08,21694
15/01/18,08-09,22190
15/01/18,09-10,22065
15/01/18,10-11,21927
15/01/18,11-12,21868
15/01/18,12-13,21492
15/01/18,13-14,21370
15/01/18,14-15,21324
15/01/18,15-16,21605
15/01/18,16-17,21773
15/01/18,17-18,21674
15/01/18,18-19,21296
15/01/18,19-20,20996
15/01/18,20-21,20577
15/01/18,21-22,20058
15/01/18,22-23,19329
15/01/18,23-00,18593
16/01/18,00-01,18101
16/01/18,01-02,17570
16/01/18,02-03,17551
16/01/18,03-04,17412
16/01/18,04-05,17410
16/01/18,05-06,17918
16/01/18,06-07,19275
16/01/18,07-08,20997
16/01/18,08-09,21234
16/01/18,09-10,21086
16/01/18,10-11,21002
16/01/18,11-12,20945
16/01/18,12-13,20670
16/01/18,13-14,20692
16/01/18,14-15,20599
16/01/18,15-16,20611
16/01/18,16-17,20944
16/01/18,17-18,20771
16/01/18,18-19,20778
16/01/18,19-20,20426
16/01/18,20-21,20119
16/01/18,21-22,19606
16/01/18,22-23,18966
16/01/18,23-00,18092
17/01/18,00-01,17420
17/01/18,01-02,16965
17/01/18,02-03,16924
17/01/18,03-04,16905
17/01/18,04-05,17076
17/01/18,05-06,17581
17/01/18,06-07,18973
17/01/18,07-08,20894
17/01/18,08-09,21120
17/01/18,09-10,20963
17/01/18,10-11,20905
17/01/18,11-12,21008
17/01/18,12-13,20922
17/01/18,13-14,20382
17/01/18,14-15,20510
17/01/18,15-16,20683
17/01/18,16-17,21154
17/01/18,17-18,21242
17/01/18,18-19,21010
17/01/18,19-20,20676
17/01/18,20-21,20327
17/01/18,21-22,19879
17/01/18,22-23,19232
17/01/18,23-00,18509
18/01/18,00-01,17828
18/01/18,01-02,17571
18/01/18,02-03,17432
18/01/18,03-04,17424
18/01/18,04-05,17555
18/01/18,05-06,18142
18/01/18,06-07,19662
18/01/18,07-08,21439
18/01/18,08-09,21899
18/01/18,09-10,21662
18/01/18,10-11,21590
18/01/18,11-12,21472
18/01/18,12-13,21324
18/01/18,13-14,21312
18/01/18,14-15,21307
18/01/18,15-16,21433
18/01/18,16-17,21783
18/01/18,17-18,21756
18/01/18,18-19,21441
18/01/18,19-20,21270
18/01/18,20-21,21035
18/01/18,21-22,20320
18/01/18,22-23,19602
18/01/18,23-00,18763
19/01/18,00-01,18203
19/01/18,01-02,17762
19/01/18,02-03,17639
19/01/18,03-04,17551
19/01/18,04-05,17696
19/01/18,05-06,18384
19/01/18,06-07,19856
19/01/18,07-08,21493
19/01/18,08-09,22114
19/01/18,09-10,21952
19/01/18,10-11,21788
19/01/18,11-12,21532
19/01/18,12-13,21484
19/01/18,13-14,21494
19/01/18,14-15,21497
19/01/18,15-16,21736
19/01/18,16-17,21943
19/01/18,17-18,21585
19/01/18,18-19,21383
19/01/18,19-20,21059
19/01/18,20-21,20500
19/01/18,21-22,19847
19/01/18,22-23,19284
19/01/18,23-00,18671
20/01/18,00-01,18130
20/01/18,01-02,17743
20/01/18,02-03,17533
20/01/18,03-04,17434
20/01/18,04-05,17524
20/01/18,05-06,17695
20/01/18,06-07,17961
20/01/18,07-08,18507
20/01/18,08-09,19371
20/01/18,09-10,19881
20/01/18,10-11,20338
20/01/18,11-12,20348
20/01/18,12-13,20277
20/01/18,13-14,20185
20/01/18,14-15,20079
20/01/18,15-16,20241
20/01/18,16-17,20653
20/01/18,17-18,20856
20/01/18,18-19,20843
20/01/18,19-20,20463
20/01/18,20-21,20048
20/01/18,21-22,19569
20/01/18,22-23,19127
20/01/18,23-00,18718
21/01/18,00-01,18297
21/01/18,01-02,17896
21/01/18,02-03,17424
21/01/18,03-04,17258
21/01/18,04-05,17257
21/01/18,05-06,17419
21/01/18,06-07,17886
21/01/18,07-08,18254
21/01/18,08-09,18887
21/01/18,09-10,19458
21/01/18,10-11,19787
21/01/18,11-12,19823
21/01/18,12-13,19764
21/01/18,13-14,19547
21/01/18,14-15,19634
21/01/18,15-16,19854
21/01/18,16-17,20481
21/01/18,17-18,20643
21/01/18,18-19,20643
21/01/18,19-20,20463
21/01/18,20-21,20326
21/01/18,21-22,20022
21/01/18,22-23,19502
21/01/18,23-00,18882
22/01/18,00-01,18287
22/01/18,01-02,17900
22/01/18,02-03,17786
22/01/18,03-04,17857
22/01/18,04-05,18058
22/01/18,05-06,18593
22/01/18,06-07,20157
22/01/18,07-08,21974
22/01/18,08-09,22556
22/01/18,09-10,22375
22/01/18,10-11,22323
22/01/18,11-12,22155
22/01/18,12-13,22051
22/01/18,13-14,21951
22/01/18,14-15,21984
22/01/18,15-16,21993
22/01/18,16-17,22278
22/01/18,17-18,22262
22/01/18,18-19,22040
22/01/18,19-20,21889
22/01/18,20-21,21633
22/01/18,21-22,21092
22/01/18,22-23,20239
22/01/18,23-00,19317
23/01/18,00-01,18576
23/01/18,01-02,18258
23/01/18,02-03,18124
23/01/18,03-04,18178
23/01/18,04-05,18380
23/01/18,05-06,18923
23/01/18,06-07,20349
23/01/18,07-08,21849
23/01/18,08-09,22254
23/01/18,09-10,21985
23/01/18,10-11,21808
23/01/18,11-12,21466
23/01/18,12-13,21394
23/01/18,13-14,21351
23/01/18,14-15,21430
23/01/18,15-16,21544
23/01/18,16-17,21919
23/01/18,17-18,21642
23/01/18,18-19,21181
23/01/18,19-20,20831
23/01/18,20-21,20505
23/01/18,21-22,19713
23/01/18,22-23,19017
23/01/18,23-00,18127
24/01/18,00-01,17283
24/01/18,01-02,16870
24/01/18,02-03,16634
24/01/18,03-04,16624
24/01/18,04-05,16738
24/01/18,05-06,17318
24/01/18,06-07,18752
24/01/18,07-08,20492
24/01/18,08-09,20666
24/01/18,09-10,20430
24/01/18,10-11,20449
24/01/18,11-12,20418
24/01/18,12-13,20326
24/01/18,13-14,20272
24/01/18,14-15,20472
24/01/18,15-16,20304
24/01/18,16-17,20342
24/01/18,17-18,20386
24/01/18,18-19,20208
24/01/18,19-20,19929
24/01/18,20-21,19614
24/01/18,21-22,18813
24/01/18,22-23,18642
24/01/18,23-00,18015
25/01/18,00-01,17381
25/01/18,01-02,16922
25/01/18,02-03,16741
25/01/18,03-04,16345
25/01/18,04-05,16431
25/01/18,05-06,17021
25/01/18,06-07,18121
25/01/18,07-08,19763
25/01/18,08-09,20105
25/01/18,09-10,19735
25/01/18,10-11,19549
25/01/18,11-12,19380
25/01/18,12-13,19632
25/01/18,13-14,19559
25/01/18,14-15,19571
25/01/18,15-16,19625
25/01/18,16-17,19939
25/01/18,17-18,20102
25/01/18,18-19,19806
25/01/18,19-20,19667
25/01/18,20-21,19286
25/01/18,21-22,18984
25/01/18,22-23,18228
25/01/18,23-00,17616
26/01/18,00-01,17026
26/01/18,01-02,16663
26/01/18,02-03,16517
26/01/18,03-04,16627
26/01/18,04-05,16755
26/01/18,05-06,17161
26/01/18,06-07,18647
26/01/18,07-08,20285
26/01/18,08-09,20852
26/01/18,09-10,20711
26/01/18,10-11,20526
26/01/18,11-12,20305
26/01/18,12-13,19887
26/01/18,13-14,19841
26/01/18,14-15,20097
26/01/18,15-16,20010
26/01/18,16-17,20287
26/01/18,17-18,20651
26/01/18,18-19,20477
26/01/18,19-20,20171
26/01/18,20-21,19700
26/01/18,21-22,19198
26/01/18,22-23,18758
26/01/18,23-00,18189
27/01/18,00-01,17766
27/01/18,01-02,17485
27/01/18,02-03,17265
27/01/18,03-04,17301
27/01/18,04-05,17445
27/01/18,05-06,17618
27/01/18,06-07,17950
27/01/18,07-08,18581
27/01/18,08-09,19335
27/01/18,09-10,19947
27/01/18,10-11,20352
27/01/18,11-12,20190
27/01/18,12-13,19920
27/01/18,13-14,19715
27/01/18,14-15,19688
27/01/18,15-16,19907
27/01/18,16-17,20466
27/01/18,17-18,20841
27/01/18,18-19,20612
27/01/18,19-20,20206
27/01/18,20-21,19745
27/01/18,21-22,19332
27/01/18,22-23,18709
27/01/18,23-00,18226
28/01/18,00-01,17707
28/01/18,01-02,17215
28/01/18,02-03,17001
28/01/18,03-04,16837
28/01/18,04-05,16733
28/01/18,05-06,16847
28/01/18,06-07,17200
28/01/18,07-08,17484
28/01/18,08-09,17965
28/01/18,09-10,18431
28/01/18,10-11,18741
28/01/18,11-12,18829
28/01/18,12-13,18769
28/01/18,13-14,18735
28/01/18,14-15,18658
28/01/18,15-16,18746
28/01/18,16-17,19096
28/01/18,17-18,19408
28/01/18,18-19,19397
28/01/18,19-20,19185
28/01/18,20-21,18973
28/01/18,21-22,18696
28/01/18,22-23,18211
28/01/18,23-00,17612
29/01/18,00-01,17141
29/01/18,01-02,16794
29/01/18,02-03,16648
29/01/18,03-04,16672
29/01/18,04-05,16748
29/01/18,05-06,17437
29/01/18,06-07,19020
29/01/18,07-08,20861
29/01/18,08-09,21239
29/01/18,09-10,20933
29/01/18,10-11,20867
29/01/18,11-12,20701
29/01/18,12-13,20541
29/01/18,13-14,20460
29/01/18,14-15,20432
29/01/18,15-16,20504
29/01/18,16-17,20816
29/01/18,17-18,20875
29/01/18,18-19,20877
29/01/18,19-20,20385
29/01/18,20-21,20075
29/01/18,21-22,19738
29/01/18,22-23,19016
29/01/18,23-00,18227
30/01/18,00-01,17918
30/01/18,01-02,17436
30/01/18,02-03,17258
30/01/18,03-04,17377
30/01/18,04-05,17572
30/01/18,05-06,18186
30/01/18,06-07,19552
30/01/18,07-08,21064
30/01/18,08-09,21519
30/01/18,09-10,21281
30/01/18,10-11,21034
30/01/18,11-12,20750
30/01/18,12-13,20579
30/01/18,13-14,20365
30/01/18,14-15,20442
30/01/18,15-16,20534
30/01/18,16-17,20819
30/01/18,17-18,21036
30/01/18,18-19,20845
30/01/18,19-20,20480
30/01/18,20-21,20204
30/01/18,21-22,19732
30/01/18,22-23,18789
30/01/18,23-00,17893
31/01/18,00-01,16920
31/01/18,01-02,16937
31/01/18,02-03,16702
31/01/18,03-04,16750
31/01/18,04-05,16871
31/01/18,05-06,17410
31/01/18,06-07,18562
31/01/18,07-08,20145
31/01/18,08-09,20628
31/01/18,09-10,20466
31/01/18,10-11,20439
31/01/18,11-12,20366
31/01/18,12-13,20382
31/01/18,13-14,20418
31/01/18,14-15,20363
31/01/18,15-16,20443
31/01/18,16-17,20700
31/01/18,17-18,20848
31/01/18,18-19,20624
31/01/18,19-20,20445
31/01/18,20-21,20033
31/01/18,21-22,19443
31/01/18,22-23,18815
31/01/18,23-00,17961
01/02/18,00-01,17389
01/02/18,01-02,16953
01/02/18,02-03,16859
01/02/18,03-04,16862
01/02/18,04-05,16963
01/02/18,05-06,17424
01/02/18,06-07,18852
01/02/18,07-08,20571
01/02/18,08-09,20907
01/02/18,09-10,20687
01/02/18,10-11,20656
01/02/18,11-12,20478
01/02/18,12-13,20288
01/02/18,13-14,19998
01/02/18,14-15,20101
01/02/18,15-16,20134
01/02/18,16-17,20511
01/02/18,17-18,20810
01/02/18,18-19,20733
01/02/18,19-20,20523
01/02/18,20-21,20183
01/02/18,21-22,19780
01/02/18,22-23,19332
01/02/18,23-00,18493
02/02/18,00-01,17962
02/02/18,01-02,17713
02/02/18,02-03,17728
02/02/18,03-04,17824
02/02/18,04-05,18010
02/02/18,05-06,18663
02/02/18,06-07,20227
02/02/18,07-08,22036
02/02/18,08-09,22542
02/02/18,09-10,22539
02/02/18,10-11,22536
02/02/18,11-12,22232
02/02/18,12-13,21809
02/02/18,13-14,21505
02/02/18,14-15,21380
02/02/18,15-16,21245
02/02/18,16-17,21400
02/02/18,17-18,21925
02/02/18,18-19,21983
02/02/18,19-20,21885
02/02/18,20-21,21364
02/02/18,21-22,20735
02/02/18,22-23,20462
02/02/18,23-00,19784
03/02/18,00-01,19277
03/02/18,01-02,18859
03/02/18,02-03,18729
03/02/18,03-04,18736
03/02/18,04-05,18757
03/02/18,05-06,18901
03/02/18,06-07,19213
03/02/18,07-08,19925
03/02/18,08-09,20573
03/02/18,09-10,21241
03/02/18,10-11,21577
03/02/18,11-12,21361
03/02/18,12-13,21096
03/02/18,13-14,20805
03/02/18,14-15,20652
03/02/18,15-16,20696
03/02/18,16-17,21071
03/02/18,17-18,21628
03/02/18,18-19,21780
03/02/18,19-20,21637
03/02/18,20-21,21183
03/02/18,21-22,20748
03/02/18,22-23,20256
03/02/18,23-00,19818
04/02/18,00-01,19428
04/02/18,01-02,19128
04/02/18,02-03,19067
04/02/18,03-04,19008
04/02/18,04-05,19048
04/02/18,05-06,19230
04/02/18,06-07,19592
04/02/18,07-08,19862
04/02/18,08-09,20417
04/02/18,09-10,20777
04/02/18,10-11,20646
04/02/18,11-12,20604
04/02/18,12-13,20270
04/02/18,13-14,20113
04/02/18,14-15,20164
04/02/18,15-16,20429
04/02/18,16-17,20916
04/02/18,17-18,21497
04/02/18,18-19,21580
04/02/18,19-20,21597
04/02/18,20-21,21482
04/02/18,21-22,21057
04/02/18,22-23,20549
04/02/18,23-00,20004
05/02/18,00-01,19331
05/02/18,01-02,19087
05/02/18,02-03,18868
05/02/18,03-04,18859
05/02/18,04-05,18629
05/02/18,05-06,19187
05/02/18,06-07,20621
05/02/18,07-08,22342
05/02/18,08-09,22660
05/02/18,09-10,22757
05/02/18,10-11,22830
05/02/18,11-12,22478
05/02/18,12-13,22331
05/02/18,13-14,22098
05/02/18,14-15,22233
05/02/18,15-16,22292
05/02/18,16-17,22392
05/02/18,17-18,22497
05/02/18,18-19,22283
05/02/18,19-20,22065
05/02/18,20-21,21731
05/02/18,21-22,21331
05/02/18,22-23,20546
05/02/18,23-00,19577
06/02/18,00-01,18774
06/02/18,01-02,18311
06/02/18,02-03,18398
06/02/18,03-04,18414
06/02/18,04-05,18731
06/02/18,05-06,19282
06/02/18,06-07,20703
06/02/18,07-08,22420
06/02/18,08-09,22670
06/02/18,09-10,22432
06/02/18,10-11,22393
06/02/18,11-12,22086
06/02/18,12-13,21969
06/02/18,13-14,21847
06/02/18,14-15,21838
06/02/18,15-16,22012
06/02/18,16-17,22082
06/02/18,17-18,22289
06/02/18,18-19,22088
06/02/18,19-20,21913
06/02/18,20-21,21707
06/02/18,21-22,21227
06/02/18,22-23,20312
06/02/18,23-00,19406
07/02/18,00-01,18962
07/02/18,01-02,18501
07/02/18,02-03,18372
07/02/18,03-04,18357
07/02/18,04-05,18483
07/02/18,05-06,18940
07/02/18,06-07,20358
07/02/18,07-08,22107
07/02/18,08-09,22559
07/02/18,09-10,22582
07/02/18,10-11,22386
07/02/18,11-12,22103
07/02/18,12-13,21789
07/02/18,13-14,21527
07/02/18,14-15,21613
07/02/18,15-16,21645
07/02/18,16-17,21782
07/02/18,17-18,22049
07/02/18,18-19,22008
07/02/18,19-20,21803
07/02/18,20-21,21494
07/02/18,21-22,20971
07/02/18,22-23,20242
07/02/18,23-00,19539
08/02/18,00-01,19077
08/02/18,01-02,18683
08/02/18,02-03,18483
08/02/18,03-04,18475
08/02/18,04-05,18654
08/02/18,05-06,19045
08/02/18,06-07,20405
08/02/18,07-08,21978
08/02/18,08-09,22358
08/02/18,09-10,22186
08/02/18,10-11,21996
08/02/18,11-12,21678
08/02/18,12-13,21538
08/02/18,13-14,21441
08/02/18,14-15,21410
08/02/18,15-16,21314
08/02/18,16-17,21422
08/02/18,17-18,21700
08/02/18,18-19,21428
08/02/18,19-20,21054
08/02/18,20-21,20696
08/02/18,21-22,20272
08/02/18,22-23,19495
08/02/18,23-00,18771
09/02/18,00-01,18110
09/02/18,01-02,17699
09/02/18,02-03,17549
