Date,Hours,NO
01/04/17,23-00,14016
02/04/17,00-01,13768
02/04/17,01-02,13773
02/04/17,02-03,13786
02/04/17,03-04,13664
02/04/17,04-05,13651
02/04/17,05-06,13873
02/04/17,06-07,13959
02/04/17,07-08,14731
02/04/17,08-09,15267
02/04/17,09-10,15402
02/04/17,10-11,15099
02/04/17,11-12,14694
02/04/17,12-13,14486
02/04/17,13-14,14387
02/04/17,14-15,14358
02/04/17,15-16,14239
02/04/17,16-17,14403
02/04/17,17-18,14665
02/04/17,18-19,14776
02/04/17,19-20,15310
02/04/17,20-21,15238
02/04/17,21-22,14793
02/04/17,22-23,14181
02/04/17,23-00,13758
03/04/17,00-01,13510
03/04/17,01-02,13672
03/04/17,02-03,13758
03/04/17,03-04,13839
03/04/17,04-05,14306
03/04/17,05-06,15619
03/04/17,06-07,17155
03/04/17,07-08,17524
03/04/17,08-09,17410
03/04/17,09-10,17081
03/04/17,10-11,16566
03/04/17,11-12,16272
03/04/17,12-13,16144
03/04/17,13-14,16013
03/04/17,14-15,15805
03/04/17,15-16,15679
03/04/17,16-17,15553
03/04/17,17-18,15606
03/04/17,18-19,15771
03/04/17,19-20,16093
03/04/17,20-21,15964
03/04/17,21-22,15462
03/04/17,22-23,14694
03/04/17,23-00,14145
04/04/17,00-01,13737
04/04/17,01-02,13667
04/04/17,02-03,13776
04/04/17,03-04,13951
04/04/17,04-05,14325
04/04/17,05-06,15507
04/04/17,06-07,16946
04/04/17,07-08,17184
04/04/17,08-09,16990
04/04/17,09-10,16849
04/04/17,10-11,16542
04/04/17,11-12,16539
04/04/17,12-13,16397
04/04/17,13-14,16331
04/04/17,14-15,16267
04/04/17,15-16,16159
04/04/17,16-17,16103
04/04/17,17-18,16002
04/04/17,18-19,16064
04/04/17,19-20,16366
04/04/17,20-21,16281
04/04/17,21-22,15687
04/04/17,22-23,14989
04/04/17,23-00,14540
05/04/17,00-01,14120
05/04/17,01-02,13990
05/04/17,02-03,13977
05/04/17,03-04,14056
05/04/17,04-05,14553
05/04/17,05-06,15810
05/04/17,06-07,17306
05/04/17,07-08,17693
05/04/17,08-09,17239
05/04/17,09-10,16910
05/04/17,10-11,16489
05/04/17,11-12,16325
05/04/17,12-13,16292
05/04/17,13-14,16143
05/04/17,14-15,15974
05/04/17,15-16,15912
05/04/17,16-17,15808
05/04/17,17-18,15758
05/04/17,18-19,15747
05/04/17,19-20,16094
05/04/17,20-21,16221
05/04/17,21-22,15702
05/04/17,22-23,15001
05/04/17,23-00,14372
06/04/17,00-01,14170
06/04/17,01-02,14136
06/04/17,02-03,14195
06/04/17,03-04,14422
06/04/17,04-05,14864
06/04/17,05-06,16341
06/04/17,06-07,17674
06/04/17,07-08,17959
06/04/17,08-09,17710
06/04/17,09-10,17511
06/04/17,10-11,17451
06/04/17,11-12,17256
06/04/17,12-13,17072
06/04/17,13-14,17064
06/04/17,14-15,16956
06/04/17,15-16,16584
06/04/17,16-17,16277
06/04/17,17-18,16070
06/04/17,18-19,16140
06/04/17,19-20,16358
06/04/17,20-21,16285
06/04/17,21-22,15773
06/04/17,22-23,15010
06/04/17,23-00,14369
07/04/17,00-01,13956
07/04/17,01-02,13769
07/04/17,02-03,13869
07/04/17,03-04,14006
07/04/17,04-05,14494
07/04/17,05-06,15561
07/04/17,06-07,16914
07/04/17,07-08,17132
07/04/17,08-09,16892
07/04/17,09-10,16510
07/04/17,10-11,16093
07/04/17,11-12,15710
07/04/17,12-13,15533
07/04/17,13-14,15375
07/04/17,14-15,15201
07/04/17,15-16,15036
07/04/17,16-17,14936
07/04/17,17-18,14950
07/04/17,18-19,15093
07/04/17,19-20,15223
07/04/17,20-21,15131
07/04/17,21-22,14656
07/04/17,22-23,14248
07/04/17,23-00,13764
08/04/17,00-01,13434
08/04/17,01-02,13326
08/04/17,02-03,13231
08/04/17,03-04,13279
08/04/17,04-05,13440
08/04/17,05-06,13782
08/04/17,06-07,14287
08/04/17,07-08,14745
08/04/17,08-09,15142
08/04/17,09-10,15332
08/04/17,10-11,15206
08/04/17,11-12,14821
08/04/17,12-13,14707
08/04/17,13-14,14519
08/04/17,14-15,14288
08/04/17,15-16,14429
08/04/17,16-17,14642
08/04/17,17-18,14711
08/04/17,18-19,14772
08/04/17,19-20,14894
08/04/17,20-21,14825
08/04/17,21-22,14422
08/04/17,22-23,14033
08/04/17,23-00,13706
09/04/17,00-01,13516
09/04/17,01-02,13446
09/04/17,02-03,13354
09/04/17,03-04,13418
09/04/17,04-05,13464
09/04/17,05-06,13655
09/04/17,06-07,13879
09/04/17,07-08,14206
09/04/17,08-09,14444
09/04/17,09-10,14592
09/04/17,10-11,14526
09/04/17,11-12,14424
09/04/17,12-13,14233
09/04/17,13-14,14162
09/04/17,14-15,14180
09/04/17,15-16,14243
09/04/17,16-17,14370
09/04/17,17-18,14469
09/04/17,18-19,14614
09/04/17,19-20,14752
09/04/17,20-21,14745
09/04/17,21-22,14553
09/04/17,22-23,14203
09/04/17,23-00,13647
10/04/17,00-01,13424
10/04/17,01-02,13223
10/04/17,02-03,13217
10/04/17,03-04,13209
10/04/17,04-05,13639
10/04/17,05-06,14410
10/04/17,06-07,15496
10/04/17,07-08,16201
10/04/17,08-09,16024
10/04/17,09-10,15977
10/04/17,10-11,15866
10/04/17,11-12,15716
10/04/17,12-13,15596
10/04/17,13-14,15482
10/04/17,14-15,15405
10/04/17,15-16,15374
10/04/17,16-17,15414
10/04/17,17-18,15308
10/04/17,18-19,15471
10/04/17,19-20,15629
10/04/17,20-21,15674
10/04/17,21-22,15280
10/04/17,22-23,14813
10/04/17,23-00,14451
11/04/17,00-01,14117
11/04/17,01-02,13974
11/04/17,02-03,13983
11/04/17,03-04,14152
11/04/17,04-05,14479
11/04/17,05-06,15332
11/04/17,06-07,16454
11/04/17,07-08,16675
11/04/17,08-09,16597
11/04/17,09-10,16581
11/04/17,10-11,16403
11/04/17,11-12,16186
11/04/17,12-13,15953
11/04/17,13-14,15934
11/04/17,14-15,15751
11/04/17,15-16,15711
11/04/17,16-17,15630
11/04/17,17-18,15744
11/04/17,18-19,15952
11/04/17,19-20,16023
11/04/17,20-21,15960
11/04/17,21-22,15528
11/04/17,22-23,14983
11/04/17,23-00,14431
12/04/17,00-01,14197
12/04/17,01-02,14084
12/04/17,02-03,14092
12/04/17,03-04,14259
12/04/17,04-05,14435
12/04/17,05-06,15234
12/04/17,06-07,16029
12/04/17,07-08,16411
12/04/17,08-09,16561
12/04/17,09-10,16481
12/04/17,10-11,16171
12/04/17,11-12,15747
12/04/17,12-13,15498
12/04/17,13-14,15367
12/04/17,14-15,15227
12/04/17,15-16,15080
12/04/17,16-17,14953
12/04/17,17-18,14999
12/04/17,18-19,15183
12/04/17,19-20,15149
12/04/17,20-21,15172
12/04/17,21-22,14732
12/04/17,22-23,14339
12/04/17,23-00,13828
13/04/17,00-01,13574
13/04/17,01-02,13533
13/04/17,02-03,13494
13/04/17,03-04,13518
13/04/17,04-05,13791
13/04/17,05-06,14217
13/04/17,06-07,14809
13/04/17,07-08,15248
13/04/17,08-09,15713
13/04/17,09-10,15899
13/04/17,10-11,15721
13/04/17,11-12,15526
13/04/17,12-13,15331
13/04/17,13-14,15288
13/04/17,14-15,15150
13/04/17,15-16,15396
13/04/17,16-17,15246
13/04/17,17-18,15187
13/04/17,18-19,15032
13/04/17,19-20,15196
13/04/17,20-21,15271
13/04/17,21-22,15012
13/04/17,22-23,14705
13/04/17,23-00,14399
14/04/17,00-01,14176
14/04/17,01-02,14165
14/04/17,02-03,14246
14/04/17,03-04,14371
14/04/17,04-05,14582
14/04/17,05-06,14821
14/04/17,06-07,15275
14/04/17,07-08,15613
14/04/17,08-09,15835
14/04/17,09-10,15808
14/04/17,10-11,15602
14/04/17,11-12,15348
14/04/17,12-13,15250
14/04/17,13-14,15164
14/04/17,14-15,15030
14/04/17,15-16,14862
14/04/17,16-17,14762
14/04/17,17-18,14964
14/04/17,18-19,15148
14/04/17,19-20,15336
14/04/17,20-21,15504
14/04/17,21-22,15272
14/04/17,22-23,14947
14/04/17,23-00,14530
15/04/17,00-01,14243
15/04/17,01-02,14144
15/04/17,02-03,14273
15/04/17,03-04,14417
15/04/17,04-05,14440
15/04/17,05-06,14667
15/04/17,06-07,14973
15/04/17,07-08,15454
15/04/17,08-09,15960
15/04/17,09-10,16014
15/04/17,10-11,15742
15/04/17,11-12,15642
15/04/17,12-13,15622
15/04/17,13-14,15514
15/04/17,14-15,15459
15/04/17,15-16,15367
15/04/17,16-17,15389
15/04/17,17-18,15470
15/04/17,18-19,15495
15/04/17,19-20,15561
15/04/17,20-21,15734
15/04/17,21-22,15496
15/04/17,22-23,15177
15/04/17,23-00,14909
16/04/17,00-01,14725
16/04/17,01-02,14611
16/04/17,02-03,14624
16/04/17,03-04,14707
16/04/17,04-05,14805
16/04/17,05-06,14834
16/04/17,06-07,14995
16/04/17,07-08,15273
16/04/17,08-09,15644
16/04/17,09-10,15744
16/04/17,10-11,15448
16/04/17,11-12,15243
16/04/17,12-13,15170
16/04/17,13-14,14928
16/04/17,14-15,14814
16/04/17,15-16,14750
16/04/17,16-17,14838
16/04/17,17-18,15039
16/04/17,18-19,15200
16/04/17,19-20,15404
16/04/17,20-21,15675
16/04/17,21-22,15455
16/04/17,22-23,15097
16/04/17,23-00,14710
17/04/17,00-01,14505
17/04/17,01-02,14466
17/04/17,02-03,14433
17/04/17,03-04,14580
17/04/17,04-05,14700
17/04/17,05-06,14960
17/04/17,06-07,15388
17/04/17,07-08,15781
17/04/17,08-09,16107
17/04/17,09-10,16123
17/04/17,10-11,16209
17/04/17,11-12,16035
17/04/17,12-13,15844
17/04/17,13-14,15668
17/04/17,14-15,15546
17/04/17,15-16,15542
17/04/17,16-17,15480
17/04/17,17-18,15482
17/04/17,18-19,15645
17/04/17,19-20,15949
17/04/17,20-21,16303
17/04/17,21-22,15940
17/04/17,22-23,15466
17/04/17,23-00,14975
18/04/17,00-01,14785
18/04/17,01-02,14756
18/04/17,02-03,14761
18/04/17,03-04,15047
18/04/17,04-05,15701
18/04/17,05-06,16927
18/04/17,06-07,18401
18/04/17,07-08,18513
18/04/17,08-09,18005
18/04/17,09-10,17559
18/04/17,10-11,17236
18/04/17,11-12,16975
18/04/17,12-13,16752
18/04/17,13-14,16706
18/04/17,14-15,16588
18/04/17,15-16,16368
18/04/17,16-17,16222
18/04/17,17-18,16012
18/04/17,18-19,16073
18/04/17,19-20,16274
18/04/17,20-21,16767
18/04/17,21-22,16489
18/04/17,22-23,15759
18/04/17,23-00,15231
19/04/17,00-01,14986
19/04/17,01-02,14847
19/04/17,02-03,14967
19/04/17,03-04,15206
19/04/17,04-05,15759
19/04/17,05-06,16890
19/04/17,06-07,18149
19/04/17,07-08,18266
19/04/17,08-09,17822
19/04/17,09-10,17497
19/04/17,10-11,17137
19/04/17,11-12,16887
19/04/17,12-13,16851
19/04/17,13-14,16741
19/04/17,14-15,16610
19/04/17,15-16,16550
19/04/17,16-17,16403
19/04/17,17-18,16312
19/04/17,18-19,16458
19/04/17,19-20,16532
19/04/17,20-21,16499
19/04/17,21-22,16040
19/04/17,22-23,15357
19/04/17,23-00,14653
20/04/17,00-01,14243
20/04/17,01-02,14185
20/04/17,02-03,14149
20/04/17,03-04,14317
20/04/17,04-05,14581
20/04/17,05-06,15726
20/04/17,06-07,17180
20/04/17,07-08,17631
20/04/17,08-09,17474
20/04/17,09-10,17311
20/04/17,10-11,16961
20/04/17,11-12,16677
20/04/17,12-13,16558
20/04/17,13-14,16565
20/04/17,14-15,16347
20/04/17,15-16,16382
20/04/17,16-17,16200
20/04/17,17-18,16012
20/04/17,18-19,15898
20/04/17,19-20,15926
20/04/17,20-21,15980
20/04/17,21-22,15610
20/04/17,22-23,14938
20/04/17,23-00,14447
21/04/17,00-01,14110
21/04/17,01-02,13959
21/04/17,02-03,13922
21/04/17,03-04,14029
21/04/17,04-05,14374
21/04/17,05-06,15458
21/04/17,06-07,16718
21/04/17,07-08,16891
21/04/17,08-09,16767
21/04/17,09-10,16591
21/04/17,10-11,16219
21/04/17,11-12,16185
21/04/17,12-13,15984
21/04/17,13-14,15877
21/04/17,14-15,15899
21/04/17,15-16,15743
21/04/17,16-17,15631
21/04/17,17-18,15740
21/04/17,18-19,15720
21/04/17,19-20,15802
21/04/17,20-21,15905
21/04/17,21-22,15707
21/04/17,22-23,15159
21/04/17,23-00,14657
22/04/17,00-01,14331
22/04/17,01-02,14141
22/04/17,02-03,14147
22/04/17,03-04,14244
22/04/17,04-05,14363
22/04/17,05-06,14428
22/04/17,06-07,14772
22/04/17,07-08,15172
22/04/17,08-09,15588
22/04/17,09-10,15822
22/04/17,10-11,15680
22/04/17,11-12,15485
22/04/17,12-13,15192
22/04/17,13-14,14915
22/04/17,14-15,14773
22/04/17,15-16,14864
22/04/17,16-17,15001
22/04/17,17-18,15070
22/04/17,18-19,15237
22/04/17,19-20,15229
22/04/17,20-21,15300
22/04/17,21-22,15094
22/04/17,22-23,14839
22/04/17,23-00,14428
23/04/17,00-01,14381
23/04/17,01-02,14327
23/04/17,02-03,14239
23/04/17,03-04,14276
23/04/17,04-05,14147
23/04/17,05-06,14239
23/04/17,06-07,14503
23/04/17,07-08,14778
23/04/17,08-09,15003
23/04/17,09-10,15258
23/04/17,10-11,15247
23/04/17,11-12,15055
23/04/17,12-13,14861
23/04/17,13-14,14896
23/04/17,14-15,14931
23/04/17,15-16,14920
23/04/17,16-17,14937
23/04/17,17-18,14988
23/04/17,18-19,15256
23/04/17,19-20,15481
23/04/17,20-21,15797
23/04/17,21-22,15463
23/04/17,22-23,14847
23/04/17,23-00,14365
24/04/17,00-01,14056
24/04/17,01-02,14019
24/04/17,02-03,13821
24/04/17,03-04,13944
24/04/17,04-05,14545
24/04/17,05-06,15859
24/04/17,06-07,17458
24/04/17,07-08,17887
24/04/17,08-09,17680
24/04/17,09-10,17462
24/04/17,10-11,17275
24/04/17,11-12,17173
24/04/17,12-13,16910
24/04/17,13-14,16939
24/04/17,14-15,16847
24/04/17,15-16,16765
24/04/17,16-17,16624
24/04/17,17-18,16579
24/04/17,18-19,16661
24/04/17,19-20,16649
24/04/17,20-21,16952
24/04/17,21-22,16664
24/04/17,22-23,15875
24/04/17,23-00,15206
25/04/17,00-01,14891
25/04/17,01-02,14786
25/04/17,02-03,14791
25/04/17,03-04,14915
25/04/17,04-05,15099
25/04/17,05-06,16427
25/04/17,06-07,17915
25/04/17,07-08,18108
25/04/17,08-09,17700
25/04/17,09-10,17366
25/04/17,10-11,16918
25/04/17,11-12,16640
25/04/17,12-13,16468
25/04/17,13-14,16522
25/04/17,14-15,16498
25/04/17,15-16,16459
25/04/17,16-17,16261
25/04/17,17-18,16061
25/04/17,18-19,15889
25/04/17,19-20,16148
25/04/17,20-21,16301
25/04/17,21-22,16112
25/04/17,22-23,15461
25/04/17,23-00,14801
26/04/17,00-01,14622
26/04/17,01-02,14546
26/04/17,02-03,14618
26/04/17,03-04,14860
26/04/17,04-05,15323
26/04/17,05-06,16613
26/04/17,06-07,17578
26/04/17,07-08,17635
26/04/17,08-09,17202
26/04/17,09-10,16917
26/04/17,10-11,16744
26/04/17,11-12,16359
26/04/17,12-13,16121
26/04/17,13-14,16046
26/04/17,14-15,15971
26/04/17,15-16,15796
26/04/17,16-17,15657
26/04/17,17-18,15595
26/04/17,18-19,15785
26/04/17,19-20,15800
26/04/17,20-21,16097
26/04/17,21-22,15800
26/04/17,22-23,15196
26/04/17,23-00,14716
27/04/17,00-01,14550
27/04/17,01-02,14434
27/04/17,02-03,14514
27/04/17,03-04,14696
27/04/17,04-05,15008
27/04/17,05-06,16341
27/04/17,06-07,17792
27/04/17,07-08,17979
27/04/17,08-09,17593
27/04/17,09-10,17387
27/04/17,10-11,16939
27/04/17,11-12,16701
27/04/17,12-13,16509
27/04/17,13-14,16340
27/04/17,14-15,16289
27/04/17,15-16,16311
27/04/17,16-17,16293
27/04/17,17-18,16084
27/04/17,18-19,16145
27/04/17,19-20,16148
27/04/17,20-21,16366
27/04/17,21-22,16087
27/04/17,22-23,15421
27/04/17,23-00,14694
28/04/17,00-01,14439
28/04/17,01-02,14285
28/04/17,02-03,14336
28/04/17,03-04,14490
28/04/17,04-05,14836
28/04/17,05-06,15943
28/04/17,06-07,17375
28/04/17,07-08,17738
28/04/17,08-09,17581
28/04/17,09-10,17318
28/04/17,10-11,16992
28/04/17,11-12,16732
28/04/17,12-13,16487
28/04/17,13-14,16402
28/04/17,14-15,16369
28/04/17,15-16,16224
28/04/17,16-17,16135
28/04/17,17-18,16103
28/04/17,18-19,15976
28/04/17,19-20,15804
28/04/17,20-21,15777
28/04/17,21-22,15383
28/04/17,22-23,14871
28/04/17,23-00,14485
29/04/17,00-01,14074
29/04/17,01-02,13979
29/04/17,02-03,13970
29/04/17,03-04,13913
29/04/17,04-05,13864
29/04/17,05-06,14128
29/04/17,06-07,14552
29/04/17,07-08,15074
29/04/17,08-09,15455
29/04/17,09-10,15519
29/04/17,10-11,15391
29/04/17,11-12,15032
29/04/17,12-13,14641
29/04/17,13-14,14398
29/04/17,14-15,14242
29/04/17,15-16,14226
29/04/17,16-17,14339
29/04/17,17-18,14424
29/04/17,18-19,14489
29/04/17,19-20,14427
29/04/17,20-21,14541
29/04/17,21-22,14420
29/04/17,22-23,14144
29/04/17,23-00,13785
30/04/17,00-01,13684
30/04/17,01-02,13718
30/04/17,02-03,13751
30/04/17,03-04,13815
30/04/17,04-05,13792
30/04/17,05-06,13850
30/04/17,06-07,13989
30/04/17,07-08,14074
30/04/17,08-09,14322
30/04/17,09-10,14269
30/04/17,10-11,14281
30/04/17,11-12,14107
30/04/17,12-13,13755
30/04/17,13-14,13671
30/04/17,14-15,13593
30/04/17,15-16,13591
30/04/17,16-17,13530
30/04/17,17-18,13589
30/04/17,18-19,13642
30/04/17,19-20,13776
30/04/17,20-21,14011
30/04/17,21-22,14107
30/04/17,22-23,13853
30/04/17,23-00,13415
01/05/17,00-01,13181
01/05/17,01-02,13125
01/05/17,02-03,13212
01/05/17,03-04,13337
01/05/17,04-05,13348
01/05/17,05-06,13689
01/05/17,06-07,13980
01/05/17,07-08,14301
01/05/17,08-09,14598
01/05/17,09-10,14749
01/05/17,10-11,14567
01/05/17,11-12,14353
01/05/17,12-13,13979
01/05/17,13-14,13904
01/05/17,14-15,13607
01/05/17,15-16,13461
01/05/17,16-17,13308
01/05/17,17-18,13285
01/05/17,18-19,13353
01/05/17,19-20,13667
01/05/17,20-21,13901
01/05/17,21-22,13866
01/05/17,22-23,13483
01/05/17,23-00,13187
02/05/17,00-01,12895
02/05/17,01-02,12826
02/05/17,02-03,12841
02/05/17,03-04,12949
02/05/17,04-05,13308
02/05/17,05-06,14618
02/05/17,06-07,15838
02/05/17,07-08,15922
02/05/17,08-09,15475
02/05/17,09-10,14988
02/05/17,10-11,14880
02/05/17,11-12,14798
02/05/17,12-13,14636
02/05/17,13-14,14395
02/05/17,14-15,14139
02/05/17,15-16,14100
02/05/17,16-17,13980
02/05/17,17-18,13729
02/05/17,18-19,13612
02/05/17,19-20,13855
02/05/17,20-21,13929
02/05/17,21-22,13773
02/05/17,22-23,13134
02/05/17,23-00,12605
03/05/17,00-01,12364
03/05/17,01-02,12330
03/05/17,02-03,12381
03/05/17,03-04,12416
03/05/17,04-05,12600
03/05/17,05-06,13808
03/05/17,06-07,15091
03/05/17,07-08,15162
03/05/17,08-09,14729
03/05/17,09-10,14611
03/05/17,10-11,14389
03/05/17,11-12,14207
03/05/17,12-13,14189
03/05/17,13-14,14044
03/05/17,14-15,13877
03/05/17,15-16,13878
03/05/17,16-17,13861
03/05/17,17-18,13540
03/05/17,18-19,13636
03/05/17,19-20,13730
03/05/17,20-21,13728
03/05/17,21-22,13525
03/05/17,22-23,12873
03/05/17,23-00,12383
04/05/17,00-01,12269
04/05/17,01-02,12088
04/05/17,02-03,12157
04/05/17,03-04,12284
04/05/17,04-05,12683
04/05/17,05-06,13939
04/05/17,06-07,14974
04/05/17,07-08,15153
04/05/17,08-09,14863
04/05/17,09-10,14603
04/05/17,10-11,14319
04/05/17,11-12,14346
04/05/17,12-13,14235
04/05/17,13-14,14143
04/05/17,14-15,14029
04/05/17,15-16,13914
04/05/17,16-17,13772
04/05/17,17-18,13514
04/05/17,18-19,13505
04/05/17,19-20,13570
04/05/17,20-21,13688
04/05/17,21-22,13636
04/05/17,22-23,12887
04/05/17,23-00,12492
05/05/17,00-01,12193
05/05/17,01-02,12095
05/05/17,02-03,12101
05/05/17,03-04,12171
05/05/17,04-05,12417
05/05/17,05-06,13840
05/05/17,06-07,15120
05/05/17,07-08,15224
05/05/17,08-09,14918
05/05/17,09-10,14533
05/05/17,10-11,14390
05/05/17,11-12,14094
05/05/17,12-13,13903
05/05/17,13-14,13688
05/05/17,14-15,13460
05/05/17,15-16,13340
05/05/17,16-17,13074
05/05/17,17-18,12905
05/05/17,18-19,12891
05/05/17,19-20,12741
05/05/17,20-21,12783
05/05/17,21-22,12756
05/05/17,22-23,12339
05/05/17,23-00,11832
06/05/17,00-01,11447
06/05/17,01-02,11333
06/05/17,02-03,11315
06/05/17,03-04,11218
06/05/17,04-05,11126
06/05/17,05-06,11361
06/05/17,06-07,11788
06/05/17,07-08,12381
06/05/17,08-09,12940
06/05/17,09-10,13161
06/05/17,10-11,13018
06/05/17,11-12,12630
06/05/17,12-13,12448
06/05/17,13-14,12210
06/05/17,14-15,12149
06/05/17,15-16,12089
06/05/17,16-17,12062
06/05/17,17-18,12241
06/05/17,18-19,12286
06/05/17,19-20,12254
06/05/17,20-21,12106
06/05/17,21-22,12254
06/05/17,22-23,11852
06/05/17,23-00,11572
07/05/17,00-01,11124
07/05/17,01-02,10933
07/05/17,02-03,10882
07/05/17,03-04,11041
07/05/17,04-05,10934
07/05/17,05-06,11149
07/05/17,06-07,11245
07/05/17,07-08,11664
07/05/17,08-09,12431
07/05/17,09-10,12997
07/05/17,10-11,13115
07/05/17,11-12,13018
07/05/17,12-13,13013
07/05/17,13-14,12793
07/05/17,14-15,12675
07/05/17,15-16,12580
07/05/17,16-17,12736
07/05/17,17-18,12761
07/05/17,18-19,13004
07/05/17,19-20,13061
07/05/17,20-21,13292
07/05/17,21-22,13225
07/05/17,22-23,12804
07/05/17,23-00,12423
08/05/17,00-01,12315
08/05/17,01-02,12205
08/05/17,02-03,12223
08/05/17,03-04,12405
08/05/17,04-05,12544
08/05/17,05-06,13907
08/05/17,06-07,15300
08/05/17,07-08,15766
08/05/17,08-09,15650
08/05/17,09-10,15481
08/05/17,10-11,15415
08/05/17,11-12,15270
08/05/17,12-13,15095
08/05/17,13-14,14915
08/05/17,14-15,14966
08/05/17,15-16,14718
08/05/17,16-17,14754
08/05/17,17-18,14584
08/05/17,18-19,14571
08/05/17,19-20,14690
08/05/17,20-21,14829
08/05/17,21-22,14573
08/05/17,22-23,13762
08/05/17,23-00,13516
09/05/17,00-01,13139
09/05/17,01-02,12969
09/05/17,02-03,12955
09/05/17,03-04,13151
09/05/17,04-05,13556
09/05/17,05-06,14541
09/05/17,06-07,16020
09/05/17,07-08,16296
09/05/17,08-09,15879
09/05/17,09-10,15668
09/05/17,10-11,15375
09/05/17,11-12,15403
09/05/17,12-13,15086
09/05/17,13-14,15233
09/05/17,14-15,15185
09/05/17,15-16,15223
09/05/17,16-17,15098
09/05/17,17-18,15023
09/05/17,18-19,15116
09/05/17,19-20,15216
09/05/17,20-21,15328
09/05/17,21-22,15136
09/05/17,22-23,14417
09/05/17,23-00,13762
10/05/17,00-01,13309
10/05/17,01-02,13142
10/05/17,02-03,13368
10/05/17,03-04,13411
10/05/17,04-05,13731
10/05/17,05-06,15001
10/05/17,06-07,16430
10/05/17,07-08,16724
10/05/17,08-09,16736
10/05/17,09-10,16549
10/05/17,10-11,16387
10/05/17,11-12,16404
10/05/17,12-13,15989
10/05/17,13-14,16110
10/05/17,14-15,16136
10/05/17,15-16,16120
10/05/17,16-17,15998
10/05/17,17-18,15790
10/05/17,18-19,15895
10/05/17,19-20,16070
10/05/17,20-21,15957
10/05/17,21-22,15580
10/05/17,22-23,14677
10/05/17,23-00,14163
11/05/17,00-01,13769
11/05/17,01-02,13625
11/05/17,02-03,13564
11/05/17,03-04,13708
11/05/17,04-05,14009
11/05/17,05-06,15126
11/05/17,06-07,16571
11/05/17,07-08,16841
11/05/17,08-09,16590
11/05/17,09-10,16472
11/05/17,10-11,16115
11/05/17,11-12,16002
11/05/17,12-13,15933
11/05/17,13-14,15776
11/05/17,14-15,15740
11/05/17,15-16,15599
11/05/17,16-17,15464
11/05/17,17-18,15537
11/05/17,18-19,15397
11/05/17,19-20,15266
11/05/17,20-21,15110
11/05/17,21-22,14682
11/05/17,22-23,14465
11/05/17,23-00,13802
12/05/17,00-01,13321
12/05/17,01-02,13249
12/05/17,02-03,13213
12/05/17,03-04,13226
12/05/17,04-05,13479
12/05/17,05-06,14636
12/05/17,06-07,15920
12/05/17,07-08,16223
12/05/17,08-09,15776
12/05/17,09-10,15616
12/05/17,10-11,15414
12/05/17,11-12,15176
12/05/17,12-13,14954
12/05/17,13-14,14543
12/05/17,14-15,14341
12/05/17,15-16,14105
12/05/17,16-17,13891
12/05/17,17-18,13773
12/05/17,18-19,13720
12/05/17,19-20,13513
12/05/17,20-21,13455
12/05/17,21-22,13455
12/05/17,22-23,13097
12/05/17,23-00,12750
13/05/17,00-01,12576
13/05/17,01-02,12406
13/05/17,02-03,12360
13/05/17,03-04,12273
13/05/17,04-05,12220
13/05/17,05-06,12320
13/05/17,06-07,12725
13/05/17,07-08,13260
13/05/17,08-09,13760
13/05/17,09-10,13961
13/05/17,10-11,13842
13/05/17,11-12,13694
13/05/17,12-13,13461
13/05/17,13-14,13280
13/05/17,14-15,13236
13/05/17,15-16,13179
13/05/17,16-17,13396
13/05/17,17-18,13526
13/05/17,18-19,13554
13/05/17,19-20,13352
13/05/17,20-21,13135
13/05/17,21-22,13035
13/05/17,22-23,12805
13/05/17,23-00,12355
14/05/17,00-01,12085
14/05/17,01-02,11958
14/05/17,02-03,11776
14/05/17,03-04,11681
14/05/17,04-05,11505
14/05/17,05-06,11643
14/05/17,06-07,11935
14/05/17,07-08,12357
14/05/17,08-09,12894
14/05/17,09-10,13241
14/05/17,10-11,13323
14/05/17,11-12,13279
14/05/17,12-13,13209
14/05/17,13-14,13119
14/05/17,14-15,13081
14/05/17,15-16,13062
14/05/17,16-17,13117
14/05/17,17-18,13169
14/05/17,18-19,13255
14/05/17,19-20,13249
14/05/17,20-21,13222
14/05/17,21-22,13032
14/05/17,22-23,12573
14/05/17,23-00,12104
15/05/17,00-01,11812
15/05/17,01-02,11777
15/05/17,02-03,11505
15/05/17,03-04,11484
15/05/17,04-05,11662
15/05/17,05-06,13081
15/05/17,06-07,14515
15/05/17,07-08,14900
15/05/17,08-09,14755
15/05/17,09-10,14556
15/05/17,10-11,14422
15/05/17,11-12,14410
15/05/17,12-13,14220
15/05/17,13-14,14076
15/05/17,14-15,13978
15/05/17,15-16,14021
15/05/17,16-17,13908
15/05/17,17-18,13865
15/05/17,18-19,13831
15/05/17,19-20,13849
15/05/17,20-21,13784
15/05/17,21-22,13544
15/05/17,22-23,12823
15/05/17,23-00,12235
16/05/17,00-01,11913
16/05/17,01-02,11692
16/05/17,02-03,11648
16/05/17,03-04,11767
16/05/17,04-05,11977
16/05/17,05-06,13254
16/05/17,06-07,14581
16/05/17,07-08,14983
16/05/17,08-09,14923
16/05/17,09-10,14876
16/05/17,10-11,14810
16/05/17,11-12,14869
16/05/17,12-13,14794
16/05/17,13-14,14740
16/05/17,14-15,14687
16/05/17,15-16,14497
16/05/17,16-17,14410
16/05/17,17-18,14326
16/05/17,18-19,14290
